date,high,low,open,close,volume,quoteVolume,weightedAverage
1566288000,10811,10796.83138408,10810.30000003,10802.30312995,10237.24927634,0.94815801,10796.98654482
1566288300,10796.83138408,10778.25068156,10796.83138408,10778.25068156,799.53835637,0.07414847,10782.93802115
1566288600,10783.23777274,10760.87580713,10773.34096721,10769.45426186,1876.86935323,0.17433394,10765.94352903
1566288900,10778.5506816,10765.58999999,10778.51068155,10765.58999999,9188.97364026,0.85339788,10767.51402319
1566289200,10760.41766,10746.11273923,10760.41766,10749,2670.94996228,0.24835753,10754.4553301
1566289500,10759.46765969,10754.3278852,10754.3278852,10757.65765947,2662.78853193,0.24757462,10755.49881459
1566289800,10758.40765981,10671.8020115,10758.40765981,10683.87018097,790411.72483333,73.98420439,10683.51996686
1566290100,10683.97018,10602.6,10682.81891359,10683.97017999,462708.88309944,43.43282436,10653.4375767
1566290400,10710,10672.06372142,10683.97017999,10710,94639.59982472,8.84233688,10703.00771267
1566290700,10703.06077389,10675.71676916,10703.06077389,10676.74342375,1928.79587658,0.18049278,10686.27718286
1566291000,10695.94579537,10680.5,10681.31719372,10695.94579535,25935.85515557,2.42748017,10684.27065897
1566291300,10699.83406756,10688.88447622,10698.10117949,10690.04,6104.07039192,0.57077932,10694.27391294
1566291600,10690,10665.41691429,10690,10665.41691429,18039.12998698,1.68825642,10685.06523848
1566291900,10666.54118772,10519.8244101,10663.27045312,10597.44260792,237873.79528276,22.47828059,10582.38392969
1566292200,10609.9,10570,10597.44260792,10609.9,61362.90315024,5.79327157,10592.09850751
1566292500,10625.62483955,10600,10600,10625.62483955,42617.46252588,4.01710061,10609.01049373
1566292800,10637.09,10620.02047842,10631.013701,10623.03838189,50518.53982443,4.75047548,10634.41755191
1566293100,10637.00000001,10635.7899993,10635.78999976,10637.00000001,16335.68156041,1.53587093,10636.10310041
1566293400,10659.67867925,10637.34081791,10637.34081791,10658.66867899,909.23762515,0.08535039,10652.99906839
1566293700,10659.67867924,10650,10659.67867924,10650,10023.99124292,0.94118558,10650.38761316
1566294000,10658.91216,10651.29999997,10651.29999997,10657.91216,491.06651876,0.04607286,10658.47700294
1566294300,10657.50889724,10650,10657.50889724,10650,5698.78345651,0.53507046,10650.5290098
1566294600,10666.4324249,10650.61562433,10653,10666.4324249,13076.61300121,1.22701784,10657.23135795
1566294900,10702.31739395,10670.23379,10670.23379,10702.31739395,111916.44640142,10.48214128,10676.8687248
1566295200,10702.30739383,10677.43714925,10700.01099999,10694.06271985,17924.17272547,1.67556774,10697.37277555
1566295500,10693.97271955,10670.96497211,10693.97271955,10670.96497211,1821.92666706,0.17052594,10684.16140717
1566295800,10690.84999853,10667.02627015,10667.02627015,10690.8499984,10918.38314932,1.02286301,10674.33570534
1566296100,10698.09220664,10690.78850664,10690.78850664,10698.09220664,2053.80593185,0.19203607,10694.89670276
1566296400,10698.98999961,10667.95649096,10698.98999961,10688.2699996,25410.73067013,2.37669951,10691.60428704
1566296700,10675.05,10652.62198459,10669.60657021,10652.62198459,11518.31297557,1.07952285,10669.81859214
1566297000,10685.5235011,10669.21010999,10669.21010999,10685.5235011,19.92049097,0.00186608,10675.04660911
1566297300,10686.09764681,10680.7329674,10683.79350041,10680.7329674,194.53791169,0.01820492,10686.00750232
1566297600,10680.7029674,10663.87884984,10680.7029674,10665.40296734,3398.7752526,0.31840323,10674.43710482
1566297900,10662.19999979,10661.19999948,10661.19999948,10662.19999979,500.86397297,0.04697569,10662.19512641
1566298200,10677.98999999,10663.51890975,10663.51890975,10666.69450425,12870.63979389,1.20650685,10667.68895169
1566298500,10671.73881083,10659.4906112,10671.73881083,10659.4906112,1115.86123729,0.10456302,10671.66228841
1566298800,10653.54999976,10633.95912502,10653.54999976,10643.36406697,3851.01552997,0.36176998,10644.92838784
1566299100,10662.74772246,10651.31784706,10652.62292487,10662.74772246,15867.07791159,1.48962921,10651.69627788
1566299400,10657.85277638,10657.39836432,10657.39836432,10657.85277638,700.96311716,0.06577163,10657.52995877
1566299700,10641.91394152,10632.39153831,10641.91394152,10635.88539275,6096.42640439,0.57317887,10636.16738766
1566300000,10638.94807087,10630.13600684,10632.3915383,10630.13600684,4419.03186283,0.41565863,10631.3968817
1566300300,10630.1460069,10621.53293,10625.62483955,10630.14600689,10795.25312335,1.01633519,10621.74490224
1566300600,10630.62483954,10625.73280135,10628.65003262,10630.62483954,32122.44948456,3.02182587,10630.14576831
1566300900,10658.93007194,10633.95960751,10634.65760676,10658.93007194,90669.27765061,8.51762635,10644.8996381
1566301200,10671.42352029,10659.67279477,10659.67279477,10668.13391726,224.09709678,0.02101225,10665.06903282
1566301500,10671.31608636,10665.87633276,10669.1149854,10669.04705168,6484.6014769,0.60784194,10668.23634596
1566301800,10688.28461947,10646.49296,10668.4470515,10688.28461947,32303.12210006,3.02978338,10661.85863758
1566302100,10693.23671649,10688.28461947,10688.28461947,10693.23671649,2051.32561051,0.19183867,10692.97243624
1566302400,10702.31739396,10687.84680528,10697.56335308,10692.13858996,8022.81022486,0.75030808,10692.6880287
1566302700,10691.23858972,10670.38558179,10691.23858972,10670.38558187,8297.03217762,0.77704541,10677.66705889
1566303000,10681.79999997,10662.79999995,10681.62,10662.79999995,2276.98431799,0.21317713,10681.18478747
1566303300,10661.72999999,10641.99926628,10661.72999999,10649.25572251,4118.46706981,0.38675462,10648.78570763
1566303600,10651.94999672,10649.19999964,10651.94999672,10650.19999995,195.77336743,0.01838101,10650.84929686
1566303900,10669.82588907,10643.06033952,10650.19999995,10669.82588907,1078.88492211,0.10130247,10650.13441538
1566304200,10669.82588908,10646.77964027,10669.82588908,10661.64423949,1934.6077431,0.18144034,10662.50064955
1566304500,10642,10641.85714371,10642,10641.85714371,25.20867185,0.00236881,10641.91381257
1566304800,10641.85714285,10641.21540754,10641.85714285,10641.21540754,852.90531242,0.08015094,10641.23904754
1566305100,10659.3099978,10641.21540755,10641.21540761,10649.30999785,8339.61267284,0.7833709,10645.80350488
1566305400,10654,10653.49999987,10654,10653.49999987,2135.43632126,0.20044249,10653.61102461
1566305700,10649.48999967,10641.21540754,10646.96625669,10641.2154077,3977.8688593,0.37381059,10641.40226552
1566306000,10657.36818749,10641.21540769,10641.21540769,10652.78839457,10623.46042861,0.99754555,10649.5993377
1566306300,10664.18,10652.09805465,10654.44765884,10660.49499928,33201.63355008,3.11596139,10655.3417692
1566306600,10661.98382787,10659.99960573,10660.63257733,10660,609.04054069,0.05713245,10660.15094213
1566306900,10679.00590998,10661.630899,10661.630899,10679.00590998,17237.63408886,1.61650199,10663.54028358
1566307200,10685.27,10679.00591,10679.00591,10682.506201,44651.57924618,4.18037808,10681.22987722
1566307500,10694,10688.6599992,10688.6599992,10691.05786348,10941.53021985,1.02315703,10693.89145462
1566307800,10683,10665.59421325,10683,10666.1,494.20703351,0.04631194,10671.26606037
1566308100,10679.05999999,10660.97504268,10666.1,10671.61613804,66033.75667248,6.19148127,10665.25986155
1566308400,10680.54633346,10671.95981287,10671.95981287,10678.59999967,195.72555342,0.01833306,10676.09844871
1566308700,10676.04401767,10672.86887109,10672.86887109,10674.89999995,2292.66278596,0.2147961,10673.67045289
1566309000,10680.44633343,10667.88654573,10675,10668.19999979,1582.04984567,0.14817318,10677.03241352
1566309300,10667.44705127,10658.30999541,10667.44705127,10665.19999997,8908.28003441,0.83509339,10667.40575496
1566309600,10651,10642.86106875,10651,10642.86106875,54326.3757356,5.10441244,10643.02236039
